Model,Accuracy,F1,AUC,CV_AUC
SVM,0.85,0.8301886792452831,0.9542410714285714,0.8674259074259074
Logistic Regression,0.8333333333333334,0.8148148148148148,0.9497767857142857,0.8697855477855478
Random Forest,0.8666666666666667,0.8518518518518519,0.9464285714285714,0.8850036630036628
KNN,0.8333333333333334,0.8148148148148148,0.9386160714285714,0.8697216117216117
Gradient Boosting,0.8333333333333334,0.8275862068965517,0.8649553571428572,0.8649437229437229
Decision Tree,0.7,0.625,0.7449776785714286,0.7637069597069598
